,Date,Chaine,Part_de_marche,Jour,Heure_prgm1,Titre_prgm1,Type_prgm1,Duree_prgm1,Nbre_episodes_prgm1,Age_conseille_prgm1,Heure_prgm2,Titre_prgm2,Type_prgm2,Duree_prgm2,Nbre_episodes_prgm2,Age_conseille_prgm2
69,14 octobre 2014,France 2,13.7,mardi,20.50,Secrets d'Histoire,Magazine,100 mn,NA,NA,22.31,Adieu Le Pen,Documentaire,94 mn,NA,NA
70,14 octobre 2014,France 3,11.2,mardi,20.45,Un homme au pair,Telefilm,90 mn,NA,NA,23.10,"Du côté de chez Dave, l'intégrale",Divertissement,70 mn,NA,NA
71,14 octobre 2014,M6,8.6,mardi,20.50,Cousu main,Jeu,120 mn,2 ,NA,00.25,Nouveau look pour une nouvelle vie,Divertissement,90 mn,NA,NA
72,14 octobre 2014,C8,4.3,mardi,20.50,Rush Hour 2,Film,105 mn,NA,NA,22.35,Rush Hour,Film,105 mn,NA,NA
73,14 octobre 2014,TFX,4.1,mardi,20.50,Retour vers le futur,Film,125 mn,NA,NA,22.55,X-Men : le commencement,Film,135 mn,NA,-10 ans
74,14 octobre 2014,TMC,3.2,mardi,20.50,90' enquêtes,Magazine,110 mn,2 ,NA,23.20,"New York, police judiciaire",Serie TV,80 mn,3 ,-10 ans
75,14 octobre 2014,France 5,3,mardi,20.40,"Gaz de schiste, les lobbies contre-attaquent",Documentaire,55 mn,NA,NA,21.45,Leçon de propagande chinoise en zone interdite,Documentaire,55 mn,NA,NA
76,14 octobre 2014,W9,2.6,mardi,20.50,Danse avec lui,Film,130 mn,NA,NA,23.00,Mamma Mia !,Film,115 mn,NA,NA
77,14 octobre 2014,C Star,1.9,mardi,19.50,Éliminatoires de l'Euro espoirs 2015,Sport,125 mn,NA,NA,21.55,Atomic Train,Telefilm,250 mn,2 ,NA
78,14 octobre 2014,Arte,1.7,mardi,20.50,Capitalisme,Documentaire,110 mn,2 ,NA,22.51,"Échange, troc et partage",Documentaire,110 mn,2 ,NA
79,14 octobre 2014,NRJ 12,1.7,mardi,20.50,S.O.S. ma famille a besoin d'aide,Magazine,120 mn,4 ,-10 ans,NA,S.O.S. ma famille a besoin d'aide,Magazine,NA,4 ,NA
80,14 octobre 2014,Gulli,1.6,mardi,20.45,Beethoven 2,Film,105 mn,NA,NA,22.30,"Marlowe, le chien policier",Telefilm,95 mn,NA,NA
81,14 octobre 2014,RMC Decouverte,0.8,mardi,20.45,Lignes de Nasca,Documentaire,60 mn,NA,NA,22.45,Vu du ciel,Documentaire,110 mn,NA,NA
82,14 octobre 2014,6ter,0.6,mardi,20.50,Once Upon a Time,Serie TV,110 mn,5 ,-10 ans,NA,Once Upon a Time,Serie TV,NA,5 ,NA
83,14 octobre 2014,RMC Story,0.6,mardi,20.40,Comme une image,Film,120 mn,NA,NA,22.40,American Beauty,Film,135 mn,NA,NA
84,14 octobre 2014,France 4,0.5,mardi,20.45,Cam Clash,Divertissement,110 mn,2 ,NA,22.30,Alcootest,Magazine,90 mn,3 ,-12 ans
85,15 octobre 2014,TF1,23,mercredi,20.55,Blacklist,Serie TV,110 mn,2 ,-12 ans,22.40,Arrow,Serie TV,80 mn,3 ,-10 ans
86,15 octobre 2014,France 2,12.9,mercredi,20.50,Les hommes de l'ombre,Serie TV,100 mn,2 ,NA,22.35,Un soir à la tour Eiffel,Magazine,100 mn,NA,NA
87,15 octobre 2014,M6,12.1,mercredi,20.50,Le meilleur pâtissier,Divertissement,155 mn,NA,NA,23.25,Le meilleur pâtissier : à vos fourneaux !,Divertissement,65 mn,NA,NA
88,15 octobre 2014,France 3,10.8,mercredi,20.45,Le grand tour,Magazine,120 mn,NA,NA,23.41,"Pneuma, «L'air et les songes»",Ballet,84 mn,NA,NA
89,15 octobre 2014,C8,3.7,mercredi,20.50,The Cover  : qui fera la meilleure version ?,Divertissement,160 mn,NA,NA,23.30,Grégory Lemarchal : la fureur de vivre,Documentaire,105 mn,NA,NA
90,15 octobre 2014,W9,3.6,mercredi,20.50,Enquêtes criminelles : le magazine des faits divers,Magazine,230 mn,3 ,-10 ans,NA,Enquêtes criminelles : le magazine des faits divers,Magazine,NA,3 ,NA
91,15 octobre 2014,Arte,3.1,mercredi,20.50,Precious,Film,105 mn,NA,NA,22.35,L'Europe des écrivains,Documentaire,60 mn,NA,NA
92,15 octobre 2014,France 4,3.1,mercredi,20.45,Le petit lieutenant,Film,115 mn,NA,NA,22.41,Hunger,Film,94 mn,NA,-16 ans
93,15 octobre 2014,TFX,3,mercredi,20.50,24 heures aux urgences,Documentaire,140 mn,3 ,NA,NA,24 heures aux urgences,Documentaire,NA,3 ,NA
94,15 octobre 2014,France 5,2.7,mercredi,20.35,La maison France 5,Magazine,65 mn,NA,NA,21.40,"Silence, ça pousse !",Magazine,49 mn,NA,NA
95,15 octobre 2014,TMC,2.7,mercredi,20.50,Gad Elmaleh : 20 ans sur scène,Documentaire,125 mn,NA,NA,22.55,Florence Foresti : «Mother Fucker»,Spectacle,110 mn,NA,NA
96,15 octobre 2014,NRJ 12,2.3,mercredi,20.50,Six Bullets,Telefilm,125 mn,NA,-10 ans,22.55,Icarus,Telefilm,95 mn,NA,-12 ans
97,15 octobre 2014,C Star,2.2,mercredi,20.50,Un aller pour l'enfer,Telefilm,105 mn,NA,-10 ans,22.35,Ultime vengeance,Telefilm,95 mn,NA,-10 ans
98,15 octobre 2014,Gulli,1.9,mercredi,20.45,L'instit,Serie TV,180 mn,3 ,NA,NA,L'instit,Serie TV,NA,3 ,NA
99,15 octobre 2014,RMC Decouverte,1.5,mercredi,20.45,Top Gear,Magazine,110 mn,5 ,NA,NA,Top Gear,Magazine,NA,5 ,NA
100,15 octobre 2014,6ter,0.6,mercredi,20.50,Desperate Housewives,Serie TV,100 mn,4 ,NA,NA,Desperate Housewives,Serie TV,NA,4 ,NA
101,15 octobre 2014,RMC Story,0.4,mercredi,20.40,Ink Master : le meilleur tatoueur,Telerealitee,160 mn,2 ,NA,22.45,Orphan Black,Serie TV,90 mn,2 ,-10 ans
102,16 octobre 2014,TF1,30.4,jeudi,20.55,Profilage,Serie TV,130 mn,4 ,NA,NA,Profilage,Serie TV,NA,4 ,NA
103,16 octobre 2014,France 2,13,jeudi,20.50,Envoyé spécial,Magazine,95 mn,NA,NA,22.25,Complément d'enquête,Magazine,65 mn,NA,NA
104,16 octobre 2014,M6,8.7,jeudi,20.50,Rising Star,Divertissement,140 mn,NA,NA,23.10,"Rising Star, de l'autre côté du mur",Divertissement,50 mn,NA,NA
105,16 octobre 2014,France 3,8.5,jeudi,20.45,Le Cerveau,Film,110 mn,NA,NA,23.40,Poupoupidou,Film,100 mn,NA,NA
106,16 octobre 2014,C8,3.8,jeudi,20.50,Le maillon faible,Jeu,170 mn,3 ,NA,NA,Le maillon faible,Jeu,NA,3 ,NA
107,16 octobre 2014,W9,3.5,jeudi,20.50,Mesrine : l'ennemi public n° 1,Film,135 mn,NA,-10 ans,23.05,Mesrine : l'instinct de mort,Film,130 mn,NA,-12 ans
108,16 octobre 2014,TMC,3.5,jeudi,20.50,Enfin veuve,Film,105 mn,NA,NA,22.35,Palais royal !,Film,110 mn,NA,NA
109,16 octobre 2014,TFX,3.2,jeudi,20.50,L'oeil du mal,Film,125 mn,NA,-10 ans,22.55,The Walking Dead,Serie TV,150 mn,3 ,-12 ans
110,16 octobre 2014,Arte,2.9,jeudi,20.50,Ainsi soient-ils,Serie TV,110 mn,2 ,NA,22.40,Rectify,Serie TV,90 mn,2 ,NA
111,16 octobre 2014,C Star,3.0,jeudi,20.50,"Rogue, l'ultime affrontement",Film,115 mn,NA,-12 ans,22.45,8MM 2 : perversions fatales,Telefilm,115 mn,NA,-16 ans
112,16 octobre 2014,France 5,1.3,jeudi,20.35,La grande librairie,Magazine,60 mn,NA,NA,21.35,Les grandes questions,Magazine,58 mn,NA,NA
113,16 octobre 2014,Gulli,1.4,jeudi,20.45,Cadet Rousselle,Film,110 mn,NA,NA,22.35,Le dirlo,Telefilm,90 mn,NA,NA
114,16 octobre 2014,NRJ 12,1.3,jeudi,20.50,Tellement vrai,Magazine,95 mn,NA,NA,22.25,Tellement vrai : Edition spéciale,Magazine,95 mn,NA,NA
115,16 octobre 2014,France 4,0.8,jeudi,20.45,Line of Duty : enquêtes internes,Serie TV,110 mn,2 ,-12 ans,22.40,Criminal Justice,Serie TV,120 mn,2 ,NA
116,16 octobre 2014,6ter,0.8,jeudi,20.50,Sahara,Film,125 mn,NA,-10 ans,22.55,Terrain d'investigation,Magazine,230 mn,2 ,-10 ans
117,16 octobre 2014,RMC Decouverte,0.7,jeudi,20.45,Les mystères de l'univers,Documentaire,100 mn,3 ,NA,23.15,Mythbusters,Documentaire,110 mn,2 ,NA
118,16 octobre 2014,RMC Story,0.7,jeudi,20.40,Un petit jeu sans conséquence,Film,120 mn,NA,NA,22.40,1 duplex pour 3,Film,90 mn,NA,NA
119,17 octobre 2014,TF1,28.6,vendredi,20.55,Koh-Lanta,Jeu,145 mn,NA,NA,23.20,Mon incroyable fiancé,Divertissement,110 mn,2 ,NA
120,17 octobre 2014,M6,15.8,vendredi,20.50,NCIS,Serie TV,90 mn,5 ,-10 ans,NA,NCIS,Serie TV,NA,5 ,NA
121,17 octobre 2014,France 2,14,vendredi,20.50,Les petits meurtres d'Agatha Christie,Serie TV,100 mn,NA,-10 ans,22.30,Ce soir (ou jamais !),Magazine,110 mn,NA,NA
122,17 octobre 2014,France 3,7.3,vendredi,20.45,Thalassa,Magazine,110 mn,NA,NA,23.16,L'assassinat d'Ilan Halimi,Documentaire,74 mn,NA,NA
123,17 octobre 2014,C8,4.9,vendredi,20.50,Noëlle Perna : «Mado prend Racine»,Spectacle,110 mn,NA,NA,22.40,Jean-Marie Bigard : «Jean-Marie Bigard fête ses 60 ans»,Spectacle,105 mn,NA,NA
124,17 octobre 2014,W9,4,vendredi,20.50,Enquête d'action,Magazine,260 mn,3 ,-10 ans,NA,Enquête d'action,Magazine,NA,3 ,NA
125,17 octobre 2014,France 5,2.3,vendredi,20.35,On n'est pas que des cobayes !,Magazine,100 mn,2 ,NA,22.25,C dans l'air,Magazine,70 mn,NA,NA
126,17 octobre 2014,NRJ 12,2.2,vendredi,20.50,Sauveur Giordano,Serie TV,210 mn,3 ,NA,NA,Sauveur Giordano,Serie TV,NA,3 ,NA
127,17 octobre 2014,TMC,1.8,vendredi,20.50,Les experts : Manhattan,Serie TV,90 mn,6 ,-10 ans,NA,Les experts : Manhattan,Serie TV,NA,6 ,NA
128,17 octobre 2014,Arte,1.7,vendredi,20.50,"Vivre, c'est pas pour les lâches",Telefilm,90 mn,NA,NA,22.20,Ouragan,Documentaire,55 mn,NA,NA
129,17 octobre 2014,Gulli,1.6,vendredi,20.45,"Luna, le bébe tigre",Telefilm,95 mn,NA,NA,22.20,Mickey Matson et l'ordre secret,Telefilm,100 mn,NA,NA
130,17 octobre 2014,France 4,1.3,vendredi,20.45,Teen Wolf,Serie TV,80 mn,3 ,-10 ans,00.00,Studio 4.0,Magazine,55 mn,NA,-12 ans
131,17 octobre 2014,TFX,0.9,vendredi,20.50,La brigade,Documentaire,170 mn,3 ,NA,NA,La brigade,Documentaire,NA,3 ,NA
132,17 octobre 2014,C Star,0.8,vendredi,20.50,Le Zap,Divertissement,180 mn,NA,NA,23.50,Enquête très spéciale,Magazine,60 mn,3 ,-16 ans
133,17 octobre 2014,RMC Decouverte,0.5,vendredi,20.45,Mussolini,Documentaire,90 mn,2 ,NA,22.25,Hitler-Mussolini,Documentaire,120 mn,2 ,NA
134,17 octobre 2014,RMC Story,0.5,vendredi,20.40,River Monsters,Documentaire,100 mn,NA,NA,22.20,Orphan Black,Serie TV,100 mn,2 ,-12 ans
135,17 octobre 2014,6ter,0.5,vendredi,20.50,Supernova,Telefilm,190 mn,2 ,-10 ans,00.00,À l'aube de la destruction,Telefilm,95 mn,NA,NA
136,18 octobre 2014,TF1,24,samedi,20.55,Danse avec les stars,Divertissement,140 mn,NA,NA,23.15,"Danse avec les stars, la suite",Divertissement,45 mn,NA,NA
137,18 octobre 2014,France 2,17.2,samedi,20.45,Le plus grand cabaret du monde,Divertissement,150 mn,NA,NA,23.15,On n'est pas couché,Talk-Show,195 mn,NA,NA
138,18 octobre 2014,France 3,14.1,samedi,20.45,Où es-tu maintenant ?,Telefilm,100 mn,NA,NA,22.55,Un petit bout de France,Telefilm,85 mn,NA,NA
139,18 octobre 2014,M6,12.6,samedi,20.50,NCIS : Los Angeles,Serie TV,110 mn,5 ,-10 ans,NA,NCIS : Los Angeles,Serie TV,NA,5 ,NA
140,18 octobre 2014,France 5,4.8,samedi,20.35,Échappées belles,Magazine,95 mn,NA,NA,22.10,"Mayotte, l'île au lagon",Documentaire,50 mn,NA,NA
141,18 octobre 2014,Arte,3.2,samedi,20.50,Enquête sur la momie des tourbières,Documentaire,50 mn,NA,NA,22.35,Elvis-O-Rama,Documentaire,55 mn,NA,NA
142,18 octobre 2014,W9,2.8,samedi,20.50,Les Simpson,Serie TV,90 mn,5 ,NA,23.15,Relooking extrême,Divertissement,100 mn,2 ,NA
143,18 octobre 2014,C8,2.4,samedi,20.50,Palmashow spécial parodies télé,Divertissement,115 mn,NA,NA,22.45,La folle nuit du Palmashow,Divertissement,100 mn,NA,NA
144,18 octobre 2014,France 4,2.2,samedi,20.35,Challenge européen,Sport,125 mn,NA,NA,22.40,Fort Boyard,Jeu,95 mn,NA,NA
145,18 octobre 2014,TMC,1.8,samedi,20.50,"New York, section criminelle",Serie TV,120 mn,4 ,-10 ans,NA,"New York, section criminelle",Serie TV,NA,4 ,NA
146,18 octobre 2014,Gulli,1.5,samedi,20.45,Intervilles International,Divertissement,80 mn,NA,NA,23.20,Total Wipeout made in USA,Divertissement,50 mn,NA,NA
147,18 octobre 2014,TFX,1.4,samedi,20.50,Chroniques criminelles,Magazine,250 mn,3 ,NA,NA,Chroniques criminelles,Magazine,NA,3 ,NA
148,18 octobre 2014,6ter,1.3,samedi,20.50,Auschwitz : voyage au bout de l'enfer,Documentaire,50 mn,NA,-10 ans,22.50,"Hitler, la folie d'un homme",Documentaire,95 mn,NA,-10 ans
149,18 octobre 2014,NRJ 12,1.2,samedi,20.50,Pièges de stars,Divertissement,120 mn,NA,NA,22.50,Le super bêtisier de l'année,Divertissement,200 mn,2 ,NA
150,18 octobre 2014,RMC Decouverte,0.8,samedi,20.45,Alien Theory,Documentaire,110 mn,5 ,NA,NA,Alien Theory,Documentaire,NA,5 ,NA
151,18 octobre 2014,C Star,0.6,samedi,20.50,Le Zap choc,Divertissement,240 mn,2 ,NA,00.50,Programmes de nuit,Magazine,370 mn,NA,NA
